[2021-06-28 18:26:56,251] [INFO] [12300] [fund_spider]: code:010025, name:广发聚丰混合C
[2021-06-28 18:26:56,418] [INFO] [10004] [fund_spider]: code:010123, name:华泰柏瑞优势领航混合C
[2021-06-28 18:26:56,431] [INFO] [1644] [fund_spider]: code:000946, name:华夏医疗健康混合C
[2021-06-28 18:26:56,523] [INFO] [10540] [fund_spider]: code:004666, name:长城久嘉创新成长混合
[2021-06-28 18:26:56,605] [INFO] [11532] [fund_spider]: code:010393, name:工银健康生活混合A
[2021-06-28 18:26:56,651] [INFO] [12300] [fund_spider]: code:009683, name:汇添富创新增长一年定开混合A
[2021-06-28 18:26:56,710] [INFO] [10004] [fund_spider]: code:004391, name:平安转型创新混合C
[2021-06-28 18:26:56,711] [INFO] [10664] [fund_spider]: 

progress 5/163


[2021-06-28 18:26:57,999] [INFO] [8432] [fund_spider]: code:001685, name:汇添富沪港深新价值股票
[2021-06-28 18:26:58,113] [INFO] [14188] [fund_spider]: code:005269, name:华泰柏瑞港股通量化混合
[2021-06-28 18:26:58,130] [INFO] [11068] [fund_spider]: code:519170, name:浦银安盛增长动力混合
[2021-06-28 18:26:58,189] [INFO] [7952] [fund_spider]: code:519033, name:海富通国策导向混合
[2021-06-28 18:26:58,281] [INFO] [10072] [fund_spider]: code:006132, name:万家智造优势混合A
[2021-06-28 18:26:58,411] [INFO] [8432] [fund_spider]: code:920003, name:中金新锐股票A
[2021-06-28 18:26:58,528] [INFO] [11068] [fund_spider]: code:006348, name:银华盛利混合发起式
[2021-06-28 18:26:58,615] [INFO] [14188] [fund_spider]: code:370024, name:上投摩根核心优选混合
[2021-06-28 18:26:58,687] [INFO] [10072] [fund_spider]: code:006133, name:万家智造优势混合C
[2021-06-28 18:26:58,777] [INFO] [7952] [fund_spider]: code:005037, name:银华新能源新材料A
[2021-06-28 18:26:58,891] [INFO] [8432] [fund_spider]: code:009684, name:汇添富创新增长一年定开混合C
[2021-06-28 18:26:58,948] [INFO] [11068] [fund_spider]: code:004745, name:长盛创新驱动灵活配置混合
